"","Region","Month","Year","Rainfall","Soil_Moisture","ET_Anomaly","ET","Temp"
"1","Alberta",6,2000,1.87674734143794,0.230218944121153,NA,NA,21.4870330008867
"2","British Columbia",6,2000,0.963260905829104,0.30097606358241,NA,NA,14.1773002857218
"3","Canada",6,2000,1.91713874035225,0.281598948428279,NA,NA,11.9776326681642
"4","Manitoba",6,2000,2.2496987277209,0.254958864660662,NA,NA,17.937425633141
"5","New Brunswick",6,2000,3.91513873138861,0.272301643096865,NA,NA,20.1144023260045
"6","Newfoundland and Labrador",6,2000,3.88075243971957,0.285035309391581,NA,NA,15.4885599217101
"7","Northwest Territories",6,2000,1.19585502775399,0.216942224724058,NA,NA,14.6920856372868
"8","Nova Scotia",6,2000,4.71351882634276,0.273737713609289,NA,NA,20.6040527856095
"9","Nunavut",6,2000,0.754100475519531,0.347409989089487,NA,NA,3.52754492680834
"10","Ontario",6,2000,3.364117906827,0.27258273565359,NA,NA,17.2671667168906
"11","Prince Edward Island",6,2000,5.33512491743017,0.271627324948336,NA,NA,21.796581043355
"12","Québec",6,2000,2.16777875051827,0.272874346698873,NA,NA,14.4954330093292
"13","Saskatchewan",6,2000,2.15288133866776,0.216312338333536,NA,NA,20.8110076334104
"14","Yukon",6,2000,1.14708808136405,0.255831751134459,NA,NA,17.1520264453098
"15","Alberta",7,2000,3.7912936801184,0.224520597533773,NA,NA,25.4216079425324
"16","British Columbia",7,2000,1.60035045556833,0.280091960231849,NA,NA,18.2851904703611
"17","Canada",7,2000,2.17054859659195,0.266585408332863,NA,NA,19.8758343678223
"18","Manitoba",7,2000,2.87818242447583,0.259079593678551,NA,NA,23.7731332268259
"19","New Brunswick",7,2000,3.25463175527638,0.272535082954179,NA,NA,22.0256497939574
"20","Newfoundland and Labrador",7,2000,3.22912292651726,0.255722572568122,NA,NA,21.9548604679366
"21","Northwest Territories",7,2000,2.11805983103598,0.214351498821034,NA,NA,19.8967990780834
"22","Nova Scotia",7,2000,2.44496528427481,0.265967819231497,NA,NA,21.965708351714
"23","Nunavut",7,2000,1.04736438435418,0.323487012801246,NA,NA,15.4559962371544
"24","Ontario",7,2000,2.40448156990111,0.264549921110664,NA,NA,22.8100296463784
"25","Prince Edward Island",7,2000,3.46682324317194,0.258140050419732,NA,NA,21.8928317553105
"26","Québec",7,2000,2.74315831186825,0.238719279582276,NA,NA,22.0950402036654
"27","Saskatchewan",7,2000,3.92833557141312,0.219205143841351,NA,NA,25.8192304359453
"28","Yukon",7,2000,1.76261284488793,0.256841498814299,NA,NA,17.0419937638488
"29","Alberta",8,2000,2.73965303658832,0.209372588486719,NA,NA,22.6797166451937
"30","British Columbia",8,2000,1.63779264196654,0.273197834664577,NA,NA,15.5245345960126
"31","Canada",8,2000,2.37641387194744,0.274346003735019,NA,NA,14.6590156073981
"32","Manitoba",8,2000,3.98363533712678,0.250045608937354,NA,NA,21.2067163279896
"33","New Brunswick",8,2000,2.69208525916292,0.259933064526841,NA,NA,20.3934724267187
"34","Newfoundland and Labrador",8,2000,2.1091526749996,0.247998560337678,NA,NA,19.619502571421
"35","Northwest Territories",8,2000,1.91066490561481,0.242439597856578,NA,NA,12.1397236815205
"36","Nova Scotia",8,2000,1.91243991551686,0.255321431643917,NA,NA,21.2978209873937
"37","Nunavut",8,2000,1.58751430529942,0.336691487317723,NA,NA,6.52153018201351
"38","Ontario",8,2000,4.27984130610488,0.275263967412077,NA,NA,21.4346354498533
"39","Prince Edward Island",8,2000,2.64153879621304,0.232968954565115,NA,NA,21.25057633464
"40","Québec",8,2000,3.2950312370481,0.245230050623023,NA,NA,19.5040053472443
"41","Saskatchewan",8,2000,3.15277315674188,0.205295861189239,NA,NA,23.7164157982401
"42","Yukon",8,2000,1.0341596827457,0.272262436691832,NA,NA,11.6863546873806
"43","Alberta",9,2000,1.95364631917021,0.227107404581675,NA,NA,15.2873316024389
"44","British Columbia",9,2000,2.09245542524529,0.288640605034932,NA,NA,11.10244906148
"45","Canada",9,2000,2.48099160406197,0.293832261556888,NA,NA,4.6014124644411
"46","Manitoba",9,2000,4.03120430341099,0.268692423151808,NA,NA,13.5841024848841
"47","New Brunswick",9,2000,2.79965066212433,0.251837878448002,NA,NA,16.0533911716333
"48","Newfoundland and Labrador",9,2000,2.83471401255236,0.263150162034091,NA,NA,10.9325510668271
"49","Northwest Territories",9,2000,1.39849615445172,0.241442358979842,NA,NA,1.72207953675162
"50","Nova Scotia",9,2000,1.78315746808655,0.252074668529929,NA,NA,17.3854471135038
"51","Nunavut",9,2000,1.64797087153275,0.372320965224922,NA,NA,-6.60277187308376
"52","Ontario",9,2000,3.67403652806887,0.279899922114467,NA,NA,14.1954441640793
"53","Prince Edward Island",9,2000,2.74711250612507,0.222186464143606,NA,NA,17.12944031068
"54","Québec",9,2000,4.77365757088258,0.272724776140388,NA,NA,9.5307346200278
"55","Saskatchewan",9,2000,1.92864152469238,0.212694719209016,NA,NA,17.1071012704407
"56","Yukon",9,2000,0.686216839813254,0.292267731792086,NA,NA,2.61488063328918
"57","Alberta",10,2000,0.646649055771,0.2169802041369,NA,NA,8.00970163571565
"58","British Columbia",10,2000,2.89632526159885,0.309890698998769,NA,NA,2.97431265982761
"59","Canada",10,2000,2.13757700283924,0.303980358077053,NA,NA,-5.63722330580262
"60","Manitoba",10,2000,1.51399995345863,0.262461361456459,NA,NA,7.21184735810897
"61","New Brunswick",10,2000,4.18005087423076,0.273978187989701,NA,NA,11.8426134168256
"62","Newfoundland and Labrador",10,2000,4.21879381449168,0.280445992905667,NA,NA,1.79326580710946
"63","Northwest Territories",10,2000,1.5797454859966,0.277090028659332,NA,NA,-10.9366059884827
"64","Nova Scotia",10,2000,8.32880008703409,0.29307604607339,NA,NA,12.613489650287
"65","Nunavut",10,2000,1.40186038039244,0.370884431449084,NA,NA,-18.0977080453317
"66","Ontario",10,2000,1.96603606222719,0.26730674245995,NA,NA,8.67263185543302
"67","Prince Edward Island",10,2000,8.55833405410659,0.279138019735316,NA,NA,12.3170307325787
"68","Québec",10,2000,2.72888221688964,0.280297468301344,NA,NA,3.32970527212505
"69","Saskatchewan",10,2000,1.14994881451841,0.207723894517247,NA,NA,9.7982260705505
"70","Yukon",10,2000,0.982309084082154,0.359470494770719,NA,NA,-8.27787248262731
"71","Alberta",11,2000,0.330600913897977,0.234880430938747,NA,NA,-4.27478962722774
"72","British Columbia",11,2000,2.83140601827706,0.354592182874039,NA,NA,-5.61096511210893
"73","Canada",11,2000,1.98187757723934,0.325364868015756,NA,NA,-18.7873561192722
"74","Manitoba",11,2000,1.69646105791509,0.303085047827521,NA,NA,-12.4986625320971
"75","New Brunswick",11,2000,3.94961280806445,0.296461432720991,NA,NA,0.485373723727091
"76","Newfoundland and Labrador",11,2000,2.34355234274406,0.341705547003641,NA,NA,-6.44432930655488
"77","Northwest Territories",11,2000,0.295658127537989,0.288013253482894,NA,NA,-22.1170077820432
"78","Nova Scotia",11,2000,5.21135942897571,0.309236194647038,NA,NA,2.49600026474533
"79","Nunavut",11,2000,0.909250539626977,0.372252876727995,NA,NA,-26.7118039167657
"80","Ontario",11,2000,2.66485304024018,0.286111115802411,NA,NA,-3.28881757016634
"81","Prince Edward Island",11,2000,4.65421378419887,0.310442515111208,NA,NA,-2.29805523591986
"82","Québec",11,2000,2.43091056294928,0.327452442782823,NA,NA,-6.63781408272388
"83","Saskatchewan",11,2000,0.610980530434197,0.241907543759313,NA,NA,-7.91305148295786
"84","Yukon",11,2000,0.800062803253827,0.378642640159238,NA,NA,-15.8653715319833
"85","Alberta",12,2000,0.884856793798442,0.266857821083076,NA,NA,-18.9837213029104
"86","British Columbia",12,2000,2.96945457754934,0.390435774634518,NA,NA,-13.011103242557
"87","Canada",12,2000,2.23555971668768,0.336252473403493,NA,NA,-27.701060284328
"88","Manitoba",12,2000,2.06441864364627,0.309965295796256,NA,NA,-26.5614211340945
"89","New Brunswick",12,2000,2.68157307655997,0.380809587361425,NA,NA,-9.18457890145273
"90","Newfoundland and Labrador",12,2000,3.74342027625888,0.371437702660531,NA,NA,-15.5802801399651
"91","Northwest Territories",12,2000,0.180360638576037,0.289607122857869,NA,NA,-31.5786245392775
"92","Nova Scotia",12,2000,5.31820806444455,0.342514424639361,NA,NA,-4.02471708534748
"93","Nunavut",12,2000,0.137902004532485,0.372213406110471,NA,NA,-32.6542952754793
"94","Ontario",12,2000,1.85914739149057,0.285988025793702,NA,NA,-21.4417536845177
"95","Prince Edward Island",12,2000,4.03158245692546,0.33547326493737,NA,NA,-6.9946254248125
"96","Québec",12,2000,2.35380642270869,0.349206653640334,NA,NA,-18.7314077212435
"97","Saskatchewan",12,2000,1.96337718152025,0.259381341056108,NA,NA,-24.4829131319217
"98","Yukon",12,2000,0.722724945917774,0.384367899368717,NA,NA,-21.8861798497935
"99","Alberta",1,2001,1.30097316261598,0.296717356708681,NA,NA,-7.17059361931806
"100","British Columbia",1,2001,4.25632633835901,0.398999993997153,NA,NA,-8.11464671273694
"101","Canada",1,2001,1.52469819879142,0.343321949206222,NA,NA,-26.129850967181
"102","Manitoba",1,2001,0.780728838061095,0.313489266021316,NA,NA,-18.447378145555
"103","New Brunswick",1,2001,1.9050030429435,0.433208976103625,NA,NA,-11.0718796168308
"104","Newfoundland and Labrador",1,2001,1.44577041118868,0.392897000490609,NA,NA,-21.6686212750707
"105","Northwest Territories",1,2001,0.18384569502242,0.289557662336531,NA,NA,-26.5292669304356
"106","Nova Scotia",1,2001,2.41458161241915,0.414492472904952,NA,NA,-7.52431125581905
"107","Nunavut",1,2001,0.108950257713106,0.37215394751282,NA,NA,-35.796797013826
"108","Ontario",1,2001,0.906478480120922,0.293492883862041,NA,NA,-17.2616856963312
"109","Prince Edward Island",1,2001,2.28209440334944,0.427783487969334,NA,NA,-9.97961853531238
"110","Québec",1,2001,0.733801135020348,0.361461608484731,NA,NA,-23.6885216465762
"111","Saskatchewan",1,2001,0.999121857090418,0.278926614360584,NA,NA,-11.7667525403265
"112","Yukon",1,2001,0.216086153829726,0.385298059808456,NA,NA,-16.8246907595026
"113","Alberta",2,2001,0.32495824249895,0.321025078911302,NA,NA,-13.5090413836026
"114","British Columbia",2,2001,1.18867802104307,0.403962638254142,NA,NA,-10.1511772075968
"115","Canada",2,2001,0.598921446188299,0.346381215438302,NA,NA,-25.8201569044325
"116","Manitoba",2,2001,0.324102406325661,0.315560183601152,NA,NA,-21.9353709428646
"117","New Brunswick",2,2001,1.2324478964163,0.434914107100304,NA,NA,-10.3370719689648
"118","Newfoundland and Labrador",2,2001,0.867931539781321,0.393055919727065,NA,NA,-20.5899269773316
"119","Northwest Territories",2,2001,0.0531513512137249,0.289804473821485,NA,NA,-26.7618620403731
"120","Nova Scotia",2,2001,2.26339906794985,0.429059422002186,NA,NA,-8.10878179713141
"121","Nunavut",2,2001,0.017920347317484,0.372068680700044,NA,NA,-35.000665276505
"122","Ontario",2,2001,0.689498257981898,0.295602486883687,NA,NA,-18.6716586812179
"123","Prince Edward Island",2,2001,2.20914563207304,0.435875558260152,NA,NA,-9.57517156664461
"124","Québec",2,2001,0.358907253188222,0.361625769142656,NA,NA,-21.6213624239846
"125","Saskatchewan",2,2001,0.322011554341072,0.294695660438706,NA,NA,-18.2137709395954
"126","Yukon",2,2001,0.146702407453514,0.38540352787677,NA,NA,-18.3999611559014
"127","Alberta",3,2001,0.29177038153243,0.357154030030495,NA,NA,0.977472255476418
"128","British Columbia",3,2001,1.52637954232125,0.415737354254917,NA,NA,-3.55649140121493
"129","Canada",3,2001,0.887068161633935,0.357946082242917,NA,NA,-17.9211256609678
"130","Manitoba",3,2001,0.294809139342782,0.344426497278919,NA,NA,-9.3742640435439
"131","New Brunswick",3,2001,1.80946685632121,0.43721741254081,NA,NA,-2.79685478141821
"132","Newfoundland and Labrador",3,2001,1.87290539858485,0.397106352958424,NA,NA,-8.25330710071236
"133","Northwest Territories",3,2001,0.168375361410074,0.29473439434407,NA,NA,-24.1811193455661
"134","Nova Scotia",3,2001,1.98880565133743,0.425100861323458,NA,NA,-1.10677927284065
"135","Nunavut",3,2001,0.0413360313078721,0.371967083216597,NA,NA,-29.3182434572694
"136","Ontario",3,2001,0.828625066134363,0.318060949263407,NA,NA,-6.43153795700516
"137","Prince Edward Island",3,2001,1.14531322001126,0.43863457856362,NA,NA,-2.8409378972137
"138","Québec",3,2001,1.00045401653642,0.372119089540599,NA,NA,-8.82135832157555
"139","Saskatchewan",3,2001,0.253333977712726,0.349155746505505,NA,NA,-2.55804490141027
"140","Yukon",3,2001,0.114733732536774,0.386746189383631,NA,NA,-15.5708364376568
"141","Alberta",4,2001,0.231039444468104,0.32080130509606,NA,NA,9.43953020791097
"142","British Columbia",4,2001,0.662918839736103,0.408526333022871,NA,NA,2.29582446731313
"143","Canada",4,2001,0.703792789786443,0.369529006966031,NA,NA,-8.02121391885838
"144","Manitoba",4,2001,0.420390413674775,0.38803696192274,NA,NA,0.91614607382959
"145","New Brunswick",4,2001,0.993595811988677,0.408831706282188,NA,NA,4.93833361195441
"146","Newfoundland and Labrador",4,2001,0.880852024834759,0.403501814111517,NA,NA,-3.90523502896911
"147","Northwest Territories",4,2001,0.310596246158101,0.321181224219583,NA,NA,-10.5014865020067
"148","Nova Scotia",4,2001,2.95494928334357,0.385632719117733,NA,NA,7.03952974607177
"149","Nunavut",4,2001,0.184746088845327,0.372466608339728,NA,NA,-20.0244458807934
"150","Ontario",4,2001,1.14982302064323,0.382703978910096,NA,NA,4.84387602864279
"151","Prince Edward Island",4,2001,1.63429396487876,0.405502281396662,NA,NA,2.1711061969414
"152","Québec",4,2001,0.812156604780914,0.393182202310481,NA,NA,-2.39741498448563
"153","Saskatchewan",4,2001,0.428191318368083,0.333038163751196,NA,NA,6.94767493818239
"154","Yukon",4,2001,0.199411976154552,0.405803977512291,NA,NA,-5.33510397112283
"155","Alberta",5,2001,1.02286758761181,0.222030852366693,NA,NA,18.7045013406599
"156","British Columbia",5,2001,0.997613643507783,0.347835948536403,NA,NA,8.55339868605561
"157","Canada",5,2001,1.53898621322543,0.323031557509995,NA,NA,3.92814356484761
"158","Manitoba",5,2001,2.38724249348502,0.268459719502975,NA,NA,15.7553861680983
"159","New Brunswick",5,2001,3.34397894342753,0.277331347365212,NA,NA,20.8689757677619
"160","Newfoundland and Labrador",5,2001,1.15159016594283,0.343349663506992,NA,NA,9.39118380319541
"161","Northwest Territories",5,2001,0.994724606043157,0.316635932674667,NA,NA,-0.559902920723623
"162","Nova Scotia",5,2001,3.37602765140298,0.293633545368192,NA,NA,18.2622737557052
"163","Nunavut",5,2001,1.39612815827598,0.389123669765778,NA,NA,-8.96407792686573
"164","Ontario",5,2001,3.40700402403114,0.243721772049024,NA,NA,18.2451744442026
"165","Prince Edward Island",5,2001,6.78412059522187,0.295084817200003,NA,NA,19.1260836400458
"166","Québec",5,2001,1.08359325454909,0.294074621998483,NA,NA,15.516071492457
